ルールID,大分類,中分類,レベル,観点,判定基準,点数,キーワード補助,有効
購入AP1,成果報告系_購入,物件購入_AP,1,標準的なAP購入報告,アパート/RCの購入報告があり価格や利回りなどの基本情報はあるが再現性の高い工夫が弱い,8,"物件購入,アパート,RC,利回り,価格",TRUE
購入AP2,成果報告系_購入,物件購入_AP,2,模範的なAP購入報告,土地割合/融資条件/出口観点など数字が良く他会員の参考になる,10,"土地値,積算,融資,フルローン,オーバーローン",TRUE
購入AP3,成果報告系_購入,物件購入_AP,3,高再現性のAP購入報告,オーバーローンや高度な交渉とその再現手順まで共有されている,11,"再現性,戦略,交渉,オーバーローン",TRUE
購入戸1,成果報告系_購入,物件購入_戸建,1,標準的な戸建購入報告,戸建購入の事実と基本情報の共有が中心,5,"戸建,購入,価格,利回り",TRUE
購入戸2,成果報告系_購入,物件購入_戸建,2,模範的な戸建購入報告,数字が良いまたは初心者再現性が高い手順を共有している,6,"初購入,指値,土地値,融資",TRUE
購入戸3,成果報告系_購入,物件購入_戸建,3,高再現性の戸建購入報告,オーバーローン/高度交渉など他会員に大きく役立つ,7,"オーバーローン,高度交渉,共担",TRUE
空室1,成果報告系_他,空室対策,1,標準的な空室改善,空室が埋まったが施策の独自性は限定的,2,"空室,入居決定,募集",TRUE
空室2,成果報告系_他,空室対策,2,家賃UPまたは即入居の成果,ステージング等で短期間成約や賃料改善がある,3,"ステージング,家賃UP,即入居,内見",TRUE
空室3,成果報告系_他,空室対策,3,新規性ある空室施策,新しい方法を試し再現可能な知見を具体的に共有,4,"新しい施策,検証,再現",TRUE
修繕1,成果報告系_他,修繕費削減,1,修繕費削減の共有,何らかの修繕費を削減した,2,"修繕,見積,費用削減",TRUE
修繕2,成果報告系_他,修繕費削減,2,中規模以上の修繕費削減,50万円以上の削減などインパクトがある,3,"50万円,雨漏り,大規模修繕",TRUE
修繕3,成果報告系_他,修繕費削減,3,大幅削減と秘訣共有,100万円以上の削減と手順/判断軸まで共有,4,"100万円,秘訣,比較見積",TRUE
売却1,成果報告系_他,高値売却,1,標準的な売却成功,購入額同等または小幅上振れで売却,3,"売却,利益,出口",TRUE
売却2,成果報告系_他,高値売却,2,見積超え売却,業者見積より高値売却を実現,4,"高値売却,査定超え",TRUE
売却3,成果報告系_他,高値売却,3,大幅高値売却,価格交渉を通じた大幅高値売却で再現性ある知見を共有,6,"価格交渉,大幅高値,販路",TRUE
融資1,情報共有系,融資情報,1,通常の融資情報,一般的な融資結果の共有,2,"融資,仮審査,金利",TRUE
融資2,情報共有系,融資情報,2,有用な融資情報,他会員の行動に直結する具体的条件がある,3,"金融機関名,融資条件,期間,金利",TRUE
融資3,情報共有系,融資情報,3,高インパクト融資情報,多くの会員に強い再現性を持つ希少な融資知見,6,"希少事例,大幅改善,突破",TRUE
業者1,情報共有系,不動産業者情報,1,業者情報共有,単純な業者情報共有,3,"業者紹介,仲介,管理会社",TRUE
業者2,情報共有系,不動産業者情報,2,広域で有用な業者情報,多くの会員に使える業者情報,5,"複数地域,再現性,比較",TRUE
業者3,情報共有系,不動産業者情報,3,高価値業者情報,非常に実用性が高く成果に直結する業者情報,6,"高再現性,実績多数,即効性",TRUE
情報1,情報共有系,その他情報,1,単純情報共有,学びはあるが実装難易度や効果は限定的,1,"情報共有,気付き",TRUE
情報2,情報共有系,その他情報,2,有用情報共有,多くの会員に役立つ具体情報,2,"ノウハウ,比較,手順",TRUE
情報3,情報共有系,その他情報,3,高有用情報共有,強い再現性と高い効果を伴う情報,3,"高有用,再現手順,効果大",TRUE
幹事1,情報共有系,コミュニティ貢献,1,幹事サポート,飲み会等の運営補助を実施,3,"幹事,運営サポート",TRUE
幹事2,情報共有系,コミュニティ貢献,2,メイン幹事,飲み会等で中心的に幹事を実施,5,"メイン幹事,主催",TRUE
